="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Dressel, Caeleb",="100",="149088682",="100 FR LCM",="22",="46.96",="46.96",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Gator Swim Club",="FL",="",="1080",="56",="Yes"
="2","Dressel, Caeleb",="100",="149088683",="100 FR LCM",="22",="47.32",="47.32",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Gator Swim Club",="FL",="",="1062",="56",="Yes"
="3","Dressel, Caeleb",="100",="149090938",="100 FR LCM",="22",="47.34r",="47.34",="2020 Olympic Trials Wave II",="2019 World Champs",="7/27/2019",="Gator Swim Club",="FL",="",="1061",="56",="Yes"
="4","Dressel, Caeleb",="100",="149088684",="100 FR LCM",="22",="47.35",="47.35",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Gator Swim Club",="FL",="",="1061",="56",="Yes"
="5","Held, Ryan",="100",="143707149",="100 FR LCM",="24",="47.39",="47.39",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="New York Athletic Club",="MR",="",="1059",="56",="Yes"
="6","Held, Ryan",="100",="143705689",="100 FR LCM",="24",="47.43",="47.43",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="New York Athletic Club",="MR",="",="1057",="56",="Yes"
="7","Minakov, Andrei",="100",="152237139",="100 FR LCM",="18",="47.57",="47.57",="2020 Olympic Trials Wave II",="2020 RUS National Champs",="10/30/2020",="Unattached",="PC",="Yes",="1050",="56",="Yes"
="8","Rooney, Maxime",="100",="143707249",="100 FR LCM",="21",="47.61",="47.61",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Pleasanton Seahawks",="PC",="",="1048",="56",="Yes"
="9","Dressel, Caeleb",="100",="149090934",="100 FR LCM",="22",="47.63r",="47.63",="2020 Olympic Trials Wave II",="2019 World Champs",="7/21/2019",="Gator Swim Club",="FL",="",="1047",="56",="Yes"
="10","Apple, Zach",="100",="148830821",="100 FR LCM",="22",="47.69",="47.69",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Mission Viejo Nadadores",="CA",="",="1044",="56",="Yes"
="11","Rooney, Maxime",="100",="143705813",="100 FR LCM",="21",="47.75",="47.75",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Pleasanton Seahawks",="PC",="",="1041",="56",="Yes"
="12","Apple, Zach",="100",="152319314",="100 FR LCM",="22",="47.79r",="47.79",="2020 Olympic Trials Wave II",="2019 WUGS",="7/4/2019",="Indiana Swim Club",="IN",="",="1039",="56",="Yes"
="13","Dressel, Caeleb",="100",="141227769",="100 FR LCM",="22",="47.86",="47.86",="2020 Olympic Trials Wave II",="2019 GA Atlanta Classic Swim Meet",="5/19/2019",="Gator Swim Club",="FL",="",="1035",="56",="Yes"
="14","Pieroni, Blake",="100",="149089974",="100 FR LCM",="23",="47.87",="47.87",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Indiana Swim Club",="IN",="",="1035",="56",="Yes"
="15","Jackson, Tate",="100",="143707167",="100 FR LCM",="22",="47.88",="47.88",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Unattached",="ST",="",="1034",="56",="Yes"
="15","Morozov, Vladimir",="100",="143908121",="100 FR LCM",="27",="47.88",="47.88",="2020 Olympic Trials Wave II",="2019 World Cup - Singapore",="8/16/2019",="Trojan Swim Club",="CA",="Yes",="1034",="56",="Yes"
="15","Pieroni, Blake",="100",="149089972",="100 FR LCM",="23",="47.88",="47.88",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Indiana Swim Club",="IN",="",="1034",="56",="Yes"
="18","Dressel, Caeleb",="100",="142221513",="100 FR LCM",="22",="47.90",="47.90",="2020 Olympic Trials Wave II",="2019 CA MVN SMOC",="6/21/2019",="Gator Swim Club",="FL",="",="1033",="56",="Yes"
="19","Dressel, Caeleb",="100",="142221512",="100 FR LCM",="22",="47.97",="47.97",="2020 Olympic Trials Wave II",="2019 CA MVN SMOC",="6/21/2019",="Gator Swim Club",="FL",="",="1030",="56",="Yes"
="20","Morozov, Vladimir",="100",="143861748",="100 FR LCM",="27",="47.99",="47.99",="2020 Olympic Trials Wave II",="2019 World Cup -  Jinan",="8/9/2019",="Trojan Swim Club",="CA",="Yes",="1029",="56",="Yes"
="20","Morozov, Vladimir",="100",="144192165",="100 FR LCM",="27",="47.99",="47.99",="2020 Olympic Trials Wave II",="2019 Word Cup - Budapest",="10/5/2019",="Trojan Swim Club",="CA",="Yes",="1029",="56",="Yes"
="22","Apple, Zach",="100",="143503980",="100 FR LCM",="22",="48.01",="48.01",="2020 Olympic Trials Wave II",="2019 WUGS",="7/8/2019",="Indiana Swim Club",="IN",="",="1028",="56",="Yes"
="23","Morozov, Vladimir",="100",="144401090",="100 FR LCM",="27",="48.02",="48.02",="2020 Olympic Trials Wave II",="2019 World Cup - Berlin",="10/12/2019",="Trojan Swim Club",="CA",="Yes",="1027",="56",="Yes"
="24","Morozov, Vladimir",="100",="152138322",="100 FR LCM",="26",="48.04",="48.04",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/10/2019",="Unattached",="CA",="Yes",="1026",="56",="Yes"
="24","Morozov, Vladimir",="100",="140427530",="100 FR LCM",="26",="48.04",="48.04",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/8/2019",="Trojan Swim Club",="CA",="Yes",="1026",="56",="Yes"
="26","Farris, Dean",="100",="143707118",="100 FR LCM",="21",="48.07",="48.07",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Harvard Swimming",="NE",="",="1025",="56",="Yes"
="27","Jackson, Tate",="100",="143705707",="100 FR LCM",="22",="48.12",="48.12",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Unattached",="ST",="",="1022",="56",="Yes"
="27","Morozov, Vladimir",="100",="143736922",="100 FR LCM",="27",="48.12",="48.12",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="Trojan Swim Club",="CA",="Yes",="1022",="56",="Yes"
="29","Morozov, Vladimir",="100",="145190631",="100 FR LCM",="27",="48.15",="48.15",="2020 Olympic Trials Wave II",="2019 World Cup -  Kazan",="11/2/2019",="Trojan Swim Club",="CA",="Yes",="1021",="56",="Yes"
="29","Pieroni, Blake",="100",="143861750",="100 FR LCM",="23",="48.15",="48.15",="2020 Olympic Trials Wave II",="2019 World Cup -  Jinan",="8/9/2019",="Indiana Swim Club",="IN",="",="1021",="56",="Yes"
